116 -1.71542 -1.32542 1.32542 1.71542
117 -1.62512 -1.23512 1.23512 1.62512
118 -1.53531 -1.14531 1.14531 1.53531
119 -1.44605 -1.05605 1.05605 1.44605
120 -1.35737 -0.967371 0.967371 1.35737
121 -1.26934 -0.879341 0.879341 1.26934
122 -1.18203 -0.792027 0.792027 1.18203
123 -1.09552 -0.705517 0.705517 1.09552
124 -1.00993 -0.619927 0.619927 1.00993
125 -0.92541 -0.53541 0.53541 0.92541
126 -0.842189 -0.452189 0.452189 0.842189
127 -0.760592 -0.370592 0.370592 0.760592
128 -0.681147 -0.291147 0.291147 0.681147
129 -0.604741 -0.214741 0.214741 0.604741
130 -0.532983 -0.142983 0.142983 0.532983
131 -0.468954 -0.0789542 0.0789542 0.468954
132 -0.41863 -0.0286301 0.0286301 0.41863
133 -0.391895 -0.00189452 0.00189452 0.391895
134 -0.397405 -0.00740528 0.00740528 0.397405
135 -0.432166 -0.0421659 0.0421659 0.432166
136 -0.485229 -0.0952294 0.0952294 0.485229
137 -0.547904 -0.157904 0.157904 0.547904
138 -0.615454 -0.225454 0.225454 0.615454
139 -0.685462 -0.295462 0.295462 0.685462
140 -0.756649 -0.366649 0.366649 0.756649
141 -0.828291 -0.438291 0.438291 0.828291
142 -0.899949 -0.509949 0.509949 0.899949
143 -0.971345 -0.581345 0.581345 0.971345
144 -1.04229 -0.652288 0.652288 1.04229
145 -1.11265 -0.722646 0.722646 1.11265
146 -1.18232 -0.792319 0.792319 1.18232
147 -1.25123 -0.861231 0.861231 1.25123
148 -1.31932 -0.929322 0.929322 1.31932
149 -1.38654 -0.996541 0.996541 1.38654
150 -1.45285 -1.06285 1.06285 1.45285
151 -1.51821 -1.12821 1.12821 1.51821
152 -1.58258 -1.19258 1.19258 1.58258
153 -1.64595 -1.25595 1.25595 1.64595
154 -1.70828 -1.31828 1.31828 1.70828
155 -1.76956 -1.37956 1.37956 1.76956
156 -1.82975 -1.43975 1.43975 1.82975
157 -1.88884 -1.49884 1.49884 1.88884
158 -1.94682 -1.55682 1.55682 1.94682
159 -2.00365 -1.61365 1.61365 2.00365
160 -2.05933 -1.66933 1.66933 2.05933
161 -2.11383 -1.72383 1.72383 2.11383
162 -2.16715 -1.77715 1.77715 2.16715
163 -2.21926 -1.82926 1.82926 2.21926
164 -2.27015 -1.88015 1.88015 2.27015
165 -2.31981 -1.92981 1.92981 2.31981
166 -2.36822 -1.97822 1.97822 2.36822
167 -2.41537 -2.02537 2.02537 2.41537
168 -2.46125 -2.07125 2.07125 2.46125
169 -2.50584 -2.11584 2.11584 2.50584
170 -2.54913 -2.15913 2.15913 2.54913
171 -2.59111 -2.20111 2.20111 2.59111
172 -2.63178 -2.24178 2.24178 2.63178
173 -2.67111 -2.28111 2.28111 2.67111
174 -2.7091 -2.3191 2.3191 2.7091
175 -2.74574 -2.35574 2.35574 2.74574
176 -2.78102 -2.39102 2.39102 2.78102
177 -2.81493 -2.42493 2.42493 2.81493
178 -2.84746 -2.45746 2.45746 2.84746
179 -2.87861 -2.48861 2.48861 2.87861
180 -2.90836 -2.51836 2.51836 2.90836
181 -2.9367 -2.5467 2.5467 2.9367
182 -2.96364 -2.57364 2.57364 2.96364
183 -2.98916 -2.59916 2.59916 2.98916
184 -3.01325 -2.62325 2.62325 3.01325
185 -3.03592 -2.64592 2.64592 3.03592
186 -3.05715 -2.66715 2.66715 3.05715
187 -3.07694 -2.68694 2.68694 3.07694
188 -3.09529 -2.70529 2.70529 3.09529
189 -3.11218 -2.72218 2.72218 3.11218
190 -3.12762 -2.73762 2.73762 3.12762
191 -3.1416 -2.7516 2.7516 3.1416
192 -3.15412 -2.76412 2.76412 3.15412
193 -3.16517 -2.77517 2.77517 3.16517
194 -3.17476 -2.78476 2.78476 3.17476
195 -3.18287 -2.79287 2.79287 3.18287
196 -3.18952 -2.79952 2.79952 3.18952
197 -3.19468 -2.80468 2.80468 3.19468
198 -3.19838 -2.80838 2.80838 3.19838
199 -3.20059 -2.81059 2.81059 3.20059
200 -3.20133 -2.81133 2.81133 3.20133
201 -3.20207 -2.81207 2.81207 3.20207
202 -3.20428 -2.81428 2.81428 3.20428
203 -3.20797 -2.81797 2.81797 3.20797
204 -3.21312 -2.82312 2.82312 3.21312
205 -3.21973 -2.82973 2.82973 3.21973
206 -3.22779 -2.83779 2.83779 3.22779
207 -3.23727 -2.84727 2.84727 3.23727
208 -3.24818 -2.85818 2.85818 3.24818
209 -3.26048 -2.87048 2.87048 3.26048
210 -3.27416 -2.88416 2.88416 3.27416
211 -3.2892 -2.8992 2.8992 3.2892
212 -3.30558 -2.91558 2.91558 3.30558
213 -3.32326 -2.93326 2.93326 3.32326
214 -3.34222 -2.95222 2.95222 3.34222
215 -3.36245 -2.97245 2.97245 3.36245
216 -3.38389 -2.99389 2.99389 3.38389
217 -3.40654 -3.01654 3.01654 3.40654
218 -3.43034 -3.04034 3.04034 3.43034
219 -3.45529 -3.06529 3.06529 3.45529
220 -3.48133 -3.09133 3.09133 3.48133
221 -3.50845 -3.11845 3.11845 3.50845
222 -3.5366 -3.1466 3.1466 3.5366
223 -3.56576 -3.17576 3.17576 3.56576
224 -3.59589 -3.20589 3.20589 3.59589
225 -3.62696 -3.23696 3.23696 3.62696
226 -3.65894 -3.26894 3.26894 3.65894
227 -3.69179 -3.30179 3.30179 3.69179
228 -3.72547 -3.33547 3.33547 3.72547
229 -3.75997 -3.36997 3.36997 3.75997
230 -3.79525 -3.40525 3.40525 3.79525
231 -3.83127 -3.44127 3.44127 3.83127
232 -3.86801 -3.47801 3.47801 3.86801
233 -3.90543 -3.51543 3.51543 3.90543
234 -3.94351 -3.55351 3.55351 3.94351
235 -3.98221 -3.59221 3.59221 3.98221
236 -4.02152 -3.63152 3.63152 4.02152
237 -4.06139 -3.67139 3.67139 4.06139
238 -4.1018 -3.7118 3.7118 4.1018
239 -4.14274 -3.75274 3.75274 4.14274
240 -4.18416 -3.79416 3.79416 4.18416
241 -4.22605 -3.83605 3.83605 4.22605
242 -4.26838 -3.87838 3.87838 4.26838
243 -4.31113 -3.92113 3.92113 4.31113
244 -4.35427 -3.96427 3.96427 4.35427
245 -4.39779 -4.00779 4.00779 4.39779
246 -4.44165 -4.05165 4.05165 4.44165
247 -4.48584 -4.09584 4.09584 4.48584
248 -4.53034 -4.14034 4.14034 4.53034
249 -4.57512 -4.18512 4.18512 4.57512
250 -4.62018 -4.23018 4.23018 4.62018
251 -4.66548 -4.27548 4.27548 4.66548
252 -4.71101 -4.32101 4.32101 4.71101
253 -4.75675 -4.36675 4.36675 4.75675
254 -4.80269 -4.41269 4.41269 4.80269
255 -4.8488 -4.4588 4.4588 4.8488
256 -4.89508 -4.50508 4.50508 4.89508
257 -4.9415 -4.5515 4.5515 4.9415
258 -4.98805 -4.59805 4.59805 4.98805
259 -5.03472 -4.64472 4.64472 5.03472
260 -5.08149 -4.69149 4.69149 5.08149
261 -5.12834 -4.73834 4.73834 5.12834
262 -5.17526 -4.78526 4.78526 5.17526
263 -5.22225 -4.83225 4.83225 5.22225
264 -5.26927 -4.87927 4.87927 5.26927
265 -5.31634 -4.92634 4.92634 5.31634
266 -5.36342 -4.97342 4.97342 5.36342
267 -5.41051 -5.02051 5.02051 5.41051
268 -5.45759 -5.06759 5.06759 5.45759
269 -5.50467 -5.11467 5.11467 5.50467
270 -5.55171 -5.16171 5.16171 5.55171
271 -5.59872 -5.20872 5.20872 5.59872
272 -5.64569 -5.25569 5.25569 5.64569
273 -5.69259 -5.30259 5.30259 5.69259
274 -5.73943 -5.34943 5.34943 5.73943
275 -5.78619 -5.39619 5.39619 5.78619
276 -5.83287 -5.44287 5.44287 5.83287
277 -5.87945 -5.48945 5.48945 5.87945
278 -5.92592 -5.53592 5.53592 5.92592
279 -5.97228 -5.58228 5.58228 5.97228
280 -6.01852 -5.62852 5.62852 6.01852
281 -6.06463 -5.67463 5.67463 6.06463
282 -6.1106 -5.7206 5.7206 6.1106
283 -6.15643 -5.76643 5.76643 6.15643
284 -6.20209 -5.81209 5.81209 6.20209
285 -6.2476 -5.8576 5.8576 6.2476
286 -6.29294 -5.90294 5.90294 6.29294
287 -6.3381 -5.9481 5.9481 6.3381
288 -6.38308 -5.99308 5.99308 6.38308
289 -6.42786 -6.03786 6.03786 6.42786
290 -6.47245 -6.08245 6.08245 6.47245
291 -6.51683 -6.12683 6.12683 6.51683
292 -6.56101 -6.17101 6.17101 6.56101
293 -6.60496 -6.21496 6.21496 6.60496
294 -6.64869 -6.25869 6.25869 6.64869
295 -6.69219 -6.30219 6.30219 6.69219
296 -6.73546 -6.34546 6.34546 6.73546
297 -6.77848 -6.38848 6.38848 6.77848
298 -6.82125 -6.43125 6.43125 6.82125
299 -6.86378 -6.47378 6.47378 6.86378
300 -6.90604 -6.51604 6.51604 6.90604
301 -6.94804 -6.55804 6.55804 6.94804
302 -6.98976 -6.59976 6.59976 6.98976
303 -7.03122 -6.64122 6.64122 7.03122
304 -7.07239 -6.68239 6.68239 7.07239
305 -7.11328 -6.72328 6.72328 7.11328
306 -7.15387 -6.76387 6.76387 7.15387
307 -7.19418 -6.80418 6.80418 7.19418
308 -7.23418 -6.84418 6.84418 7.23418
309 -7.27387 -6.88387 6.88387 7.27387
310 -7.31326 -6.92326 6.92326 7.31326
311 -7.35234 -6.96234 6.96234 7.35234
312 -7.39109 -7.00109 7.00109 7.39109
313 -7.42953 -7.03953 7.03953 7.42953
314 -7.46763 -7.07763 7.07763 7.46763
315 -7.50541 -7.11541 7.11541 7.50541
316 -7.54285 -7.15285 7.15285 7.54285
317 -7.57995 -7.18995 7.18995 7.57995
318 -7.6167 -7.2267 7.2267 7.6167
319 -7.65311 -7.26311 7.26311 7.65311
320 -7.68917 -7.29917 7.29917 7.68917
321 -7.72488 -7.33488 7.33488 7.72488
322 -7.76022 -7.37022 7.37022 7.76022
323 -7.79521 -7.40521 7.40521 7.79521
324 -7.82982 -7.43982 7.43982 7.82982
325 -7.86407 -7.47407 7.47407 7.86407
326 -7.89794 -7.50794 7.50794 7.89794
327 -7.93144 -7.54144 7.54144 7.93144
328 -7.96456 -7.57456 7.57456 7.96456
329 -7.9973 -7.6073 7.6073 7.9973
330 -8.02965 -7.63965 7.63965 8.02965
331 -8.06161 -7.67161 7.67161 8.06161
332 -8.09317 -7.70317 7.70317 8.09317
333 -8.12435 -7.73435 7.73435 8.12435
334 -8.15512 -7.76512 7.76512 8.15512
335 -8.18549 -7.79549 7.79549 8.18549
336 -8.21546 -7.82546 7.82546 8.21546
337 -8.24502 -7.85502 7.85502 8.24502
338 -8.27417 -7.88417 7.88417 8.27417
